source,target,weight
Abhijit Vaghani,Arijit Singh,1
Abhijit Vaghani,Arko,1
Abhijit Vaghani,Asees Kaur,1
Abhijit Vaghani,Guru Randhawa,1
Abhijit Vaghani,Jaani,1
Abhijit Vaghani,Jubin Nautiyal,1
Abhijit Vaghani,Kedrock,1
Abhijit Vaghani,Meet Bros.,1
Abhijit Vaghani,Parampara Tandon,1
Abhijit Vaghani,Payal Dev,1
Abhijit Vaghani,Pritam,1
Abhijit Vaghani,Rahat Fateh Ali Khan,1
Abhijit Vaghani,Sachet Tandon,1
Abhijit Vaghani,Sd Style,1
Abhijit Vaghani,Tanishk Bagchi,1
Abhijit Vaghani,Tulsi Kumar,1
Abhijit Vaghani,Yo Yo Honey Singh,1
Arijit Singh,Dhvani Bhanushali,1
Arijit Singh,Guru Randhawa,1
Arijit Singh,Jaani,1
Arijit Singh,Jubin Nautiyal,1
Arijit Singh,Kedrock,1
Arijit Singh,Payal Dev,1
Arijit Singh,Rahat Fateh Ali Khan,1
Arijit Singh,Sachet Tandon,1
Arijit Singh,Sd Style,1
Arko,Dhvani Bhanushali,1
Arko,Guru Randhawa,1
Arko,Jaani,1
Arko,Kedrock,1
Arko,Meet Bros.,1
Arko,Parampara Tandon,1
Arko,Payal Dev,1
Arko,Rahat Fateh Ali Khan,1
Arko,Sachet Tandon,1
Arko,Sd Style,1
Arko,Tulsi Kumar,1
Arko,Yo Yo Honey Singh,1
Asees Kaur,Dhvani Bhanushali,1
Asees Kaur,Jaani,1
Asees Kaur,Kedrock,1
Asees Kaur,Meet Bros.,1
Asees Kaur,Parampara Tandon,1
Asees Kaur,Payal Dev,1
Asees Kaur,Pritam,1
Asees Kaur,Sachet Tandon,1
Asees Kaur,Sd Style,1
Asees Kaur,Tulsi Kumar,1
Asees Kaur,Yo Yo Honey Singh,1
Dhvani Bhanushali,Jaani,1
Dhvani Bhanushali,Kedrock,1
Dhvani Bhanushali,Parampara Tandon,1
Dhvani Bhanushali,Pritam,1
Dhvani Bhanushali,Rahat Fateh Ali Khan,1
Dhvani Bhanushali,Sachet Tandon,1
Dhvani Bhanushali,Sd Style,1
Dhvani Bhanushali,Tulsi Kumar,1
Dhvani Bhanushali,Yo Yo Honey Singh,1
Guru Randhawa,Jaani,1
Guru Randhawa,Jubin Nautiyal,1
Guru Randhawa,Kedrock,1
Guru Randhawa,Meet Bros.,1
Guru Randhawa,Parampara Tandon,1
Guru Randhawa,Payal Dev,1
Guru Randhawa,Pritam,1
Guru Randhawa,Rahat Fateh Ali Khan,1
Guru Randhawa,Sachet Tandon,1
Guru Randhawa,Sd Style,1
Jaani,Kedrock,1
Jaani,Meet Bros.,1
Jaani,Parampara Tandon,1
Jaani,Payal Dev,1
Jaani,Pritam,1
Jaani,Rahat Fateh Ali Khan,1
Jaani,Sachet Tandon,1
Jaani,Sd Style,1
Jaani,Tulsi Kumar,1
Jaani,Yo Yo Honey Singh,1
Jubin Nautiyal,Kedrock,1
Jubin Nautiyal,Parampara Tandon,1
Jubin Nautiyal,Rahat Fateh Ali Khan,1
Jubin Nautiyal,Sachet Tandon,1
Jubin Nautiyal,Sd Style,1
Jubin Nautiyal,Tulsi Kumar,1
Jubin Nautiyal,Yo Yo Honey Singh,1
Kedrock,Meet Bros.,1
Kedrock,Parampara Tandon,1
Kedrock,Payal Dev,1
Kedrock,Rahat Fateh Ali Khan,1
Kedrock,Sachet Tandon,1
Kedrock,Tanishk Bagchi,1
Kedrock,Tulsi Kumar,1
Kedrock,Yo Yo Honey Singh,1
Meet Bros.,Parampara Tandon,1
Meet Bros.,Payal Dev,1
Meet Bros.,Rahat Fateh Ali Khan,1
Meet Bros.,Sachet Tandon,1
Meet Bros.,Sd Style,1
Meet Bros.,Tanishk Bagchi,1
Meet Bros.,Tulsi Kumar,1
Meet Bros.,Yo Yo Honey Singh,1
Parampara Tandon,Payal Dev,1
Parampara Tandon,Pritam,1
Parampara Tandon,Rahat Fateh Ali Khan,1
Future Funk Squad,Mojo,1
Parampara Tandon,Sd Style,1
Parampara Tandon,Tanishk Bagchi,1
Parampara Tandon,Tulsi Kumar,1
Parampara Tandon,Yo Yo Honey Singh,1
Payal Dev,Pritam,1
Payal Dev,Rahat Fateh Ali Khan,1
Payal Dev,Sachet Tandon,1
Payal Dev,Sd Style,1
Payal Dev,Tanishk Bagchi,1
Payal Dev,Tulsi Kumar,1
Payal Dev,Yo Yo Honey Singh,1
Pritam,Sachet Tandon,1
Rahat Fateh Ali Khan,Sachet Tandon,1
Rahat Fateh Ali Khan,Sd Style,1
Rahat Fateh Ali Khan,Yo Yo Honey Singh,1
Sachet Tandon,Sd Style,1
Sachet Tandon,Tanishk Bagchi,1
Sachet Tandon,Tulsi Kumar,1
Sachet Tandon,Yo Yo Honey Singh,1
Sd Style,Tanishk Bagchi,1
Sd Style,Tulsi Kumar,1
Sd Style,Yo Yo Honey Singh,1
Tanishk Bagchi,Yo Yo Honey Singh,1
Haricharan,Mohana,1
Future Funk Squad feat. Mojo,Mojo,1
Mekon,Roxanne Shante,1
Dub Pistols,TK,1
Andrea,Silambarasan TR,1
Ash King,Jigar Saraiya,1
Ash King,Raftaar,1
Ash King,Sidharth Malhotra,1
Jigar Saraiya,Raftaar,1
Jigar Saraiya,Sachin-Jigar,1
Jigar Saraiya,Sidharth Malhotra,1
Raftaar,Sachin-Jigar,1
Raftaar,Sidharth Malhotra,1
Sachin-Jigar,Sidharth Malhotra,1
Kumar Sanu,Sadhana Sargam,1
Bombay Jayashri,Unni Menon,1
Harris Jayaraj,Unni Menon,1
Irshad Kamil,Shadab Faridi,1
Irshad Kamil,Sukhwinder Singh,1
Shadab Faridi,Sukhwinder Singh,1
Shadab Faridi,Vishal-Shekhar,1
Sukhwinder Singh,Vishal-Shekhar,1
Abhijeet,Asha Bhosle,1
Santhosh Narayanan,Vijaynarain,1
Bombay Jeyashree,Karthik,1
Pushpavanam Kuppusamy,Swarnalatha,1
Arijit Singh,Rekha Bhardwaj,1
Mamta Sharma,Wajid,1
Gopi Sundar,Haricharan,1
Diljit Dosanjh,JBee,1
Ikky,JBee,1
JBee,Tory Lanez,1
Anurag Saikia,Mismatched,1
Anurag Saikia,Raj Shekhar,1
Anurag Saikia,Rekha Bhardwaj,1
Mismatched,Raj Shekhar,1
Mismatched,Rekha Bhardwaj,1
Raj Shekhar,Rekha Bhardwaj,1
Altamash Faridi,Rashmi Virag,1
Altamash Faridi,Yasser Desai,1
Asha Bhosle,Nigel Akkara,1
Hariharan,Kavita Krishnamurthy,1
Javed Bashir,Shankar-Ehsaan-Loy,1
Javed Bashir,Shreya Ghoshal,1
Javed Bashir,Vajid Ali,1
Javed Bashir,Yusuf Mohammed,1
Shankar-Ehsaan-Loy,Shreya Ghoshal,1
Shankar-Ehsaan-Loy,Vajid Ali,1
Shankar-Ehsaan-Loy,Yusuf Mohammed,1
Shreya Ghoshal,Vajid Ali,1
Shreya Ghoshal,Yusuf Mohammed,1
Vajid Ali,Yusuf Mohammed,1
DJ Marcelo,KK,1
Rajat Nagpal,Rohanpreet Singh,1
Jassie Gill,Meet Bros.,1
Jassie Gill,Neha Kakkar,1
A.R. Rahman,Srinidhi Venkatesh,1
Prince George,Shweta Mohan,1
Prince George,Vijay Yesudas,1
Mamta Sharma,Shaheer Sheikh,1
Neeraj Shridhar,Sunidhi Chauhan,1
Gulzar,Lata Mangeshkar,1
Gulzar,R. D. Burman,1
Lata Mangeshkar,R. D. Burman,1
Shekhar Ravjiani,Udit Narayan,1
Shreya Ghoshal,Vishal Dadlani,1
Udit Narayan,Vishal Dadlani,1
Armaan Malik,Shraddha Kapoor,1
G. V. Prakash,Haricharan,1
G. V. Prakash,Naresh Iyer,1
G. V. Prakash,Shreya Ghoshal,1
Haricharan,Naresh Iyer,1
Achu,Hemachandra Vedala,1
Sathyaprakash,Shakthisree Gopalan,1
Herbie Sahara,Manj Musik,1
Herbie Sahara,Neha Kakkar,1
Anuradha Paudwal,Badshah,1
Anuradha Paudwal,Bappi Lahiri,1
Badshah,Bappi Lahiri,1
Himesh Reshammiya,Shreya Ghoshal,1
Kavita Seth,Shreya Ghoshal,1
Hema Sardesai,Shankar Mahadevan,1
Hema Sardesai,Sonu Nigam,1
ABK,Amb,1
Osman Mir,Siddharth Mahadevan,1
Osman Mir,Souumil Shringarpure,1
Shreya Ghoshal,Siddharth Mahadevan,1
Shreya Ghoshal,Souumil Shringarpure,1
Siddharth Mahadevan,Souumil Shringarpure,1
KK,KSW,1
A.R. Rahman,Uday Mazumdar,1
Shreya Ghoshal,Uday Mazumdar,1
Monty Sharma,Shail Hada,1
A.R. Rahman,Mira Sengupta,1
Mira Sengupta,Sarthak Kalyani,1
Mukesh,Salil Chowdhury,1
A.R. Rahman,NJ,1
A.R. Rahman,Neeraj Madhav,1
NJ,Neeraj Madhav,1
Arjun Kanungo,Diksha C,1
Arjun Kanungo,Tulsi Kumar,1
Arjun Kanungo,Vayu,1
Diksha C,Tulsi Kumar,1
Diksha C,Vayu,1
Tulsi Kumar,Vayu,1
Dr. Burn,Harini,1
Dr. Burn,Harris Jayaraj,1
Dr. Burn,Karthik,1
Dr. Burn,Maya,1
Harini,Harris Jayaraj,1
Harini,Maya,1
Harris Jayaraj,Maya,1
Karthik,Maya,1
Asha Bhosle,Kishore Kumar,1
Asha Bhosle,Usha Mangeshkar,1
Kishore Kumar,Mohammed Rafi,1
Kishore Kumar,Usha Mangeshkar,1
Mohammed Rafi,Usha Mangeshkar,1
G. V. Prakash,Sithara Krishnakumar,1
Monty Sharma,Parthiv Gohil,1
KK,Shreya Ghoshal,1
Neeti Mohan,Sanam Puri,1
AK Bhuker,Roop Kumar Rathod,1
Rahat Fateh Ali Khan,Vishal-Shekhar,1
Aditya Narayan,Mithoon,1
Mahalakshmi Iyer,Suraj Jagan,1
Suraj Jagan,Vishal-Shekhar,1
Arijit Singh,Sruthy Sasidharan,1
Jungle Brothers,Propellerheads,1
Shankar Mahadevan,Sukhwinder Singh,1
Shankar-Ehsaan-Loy,Sukhwinder Singh,1
KK,Suzanne,1
Amit Trivedi,Habib Faisal,1
Habib Faisal,Sunidhi Chauhan,1
Habib Faisal,Vishal Dadlani,1
Clinton Cerejo,Dominique Cerejo,1
Clinton Cerejo,Loy Mendonsa,1
Clinton Cerejo,Shankar-Ehsaan-Loy,1
Dominique Cerejo,Loy Mendonsa,1
Dominique Cerejo,Shankar-Ehsaan-Loy,1
Kunal Ganjawala,Sadhana Sargam,1
Kunal Ganjawala,Shankar Mahadevan,1
Kunal Ganjawala,Shreya Ghoshal,1
Sadhana Sargam,Shreya Ghoshal,1
Bappi Lahiri,Irshad Kamil,1
Bappi Lahiri,Neha Bhasin,1
Bappi Lahiri,Sohail Sen,1
Irshad Kamil,Neha Bhasin,1
Neha Bhasin,Sohail Sen,1
Harika Narayan,Thaman S,1
Gajendra Verma,Lata Mangeshkar,1
Ananthu,Shweta Mohan,1
Pradeep Kumar,Shweta Mohan,1
Santhosh Narayanan,Shweta Mohan,1
Asha Bhosle,Hariharan,1
Nish Asher,Rahat Fateh Ali Khan,1
Arunraja Kamaraj,Santhosh Narayanan,1
Shreya Ghoshal,Vijay,1
Gopal Rao,Harris Jayaraj,1
Gopal Rao,Mahathi,1
Gopal Rao,Mukesh,1
Gopal Rao,Naresh Iyer,1
Gopal Rao,Ranina Reddy,1
Harris Jayaraj,Mahathi,1
Harris Jayaraj,Mukesh,1
Mahathi,Mukesh,1
Mahathi,Naresh Iyer,1
Mahathi,Ranina Reddy,1
Mukesh,Naresh Iyer,1
Mukesh,Ranina Reddy,1
Naresh Iyer,Ranina Reddy,1
G. V. Prakash,Sonu Nigam,1
Saindhavi,Sonu Nigam,1
D. Imman,Kalyani Nair,1
D. Imman,Sean Roldan,1
Kalyani Nair,Sean Roldan,1
1000volts,Datsik,1
1000volts,Jayceeoh,1
1000volts,Redman,1
Dhibu Ninan Thomas,Kapil Kapilan,1
Datsik,Jayceeoh,1
Billie Eilish,Khalid,1
Ruth B.,slater,1
Asees Kaur,Yasser Desai,1
Tanishk Bagchi,Yasser Desai,1
Kumaar,Nilesh Ahuja,1
Kumaar,Stebin Ben,1
Nilesh Ahuja,Stebin Ben,1
Akhil Sachdeva,Tulsi Kumar,1
Anurag Kulkarni,Sinduri Vishal,1
Anurag Kulkarni,Vishal Chandrashekhar,1
Datsik,Redman,1
Rema,Selena Gomez,1
Madhubanti Bagchi,Nikhita Gandhi,1
Madhubanti Bagchi,Sachet Tandon,1
Madhubanti Bagchi,Sachin-Jigar,1
Nikhita Gandhi,Sachet Tandon,1
Nikhita Gandhi,Sachin-Jigar,1
Jayceeoh,Redman,1
ShaSings,Xtreeemit,1
Ramya Behra,S.P. Charan,1
Ramya Behra,Vishal Chandrashekhar,1
Sia,ZAYN,1
Nikhita Gandhi,Pav Dharia,1
Pav Dharia,Tanishk Bagchi,1
Gulab Sidhu,Sukh Lotey,1
Dev Negi,Tanishk Bagchi,1
Dev Negi,Zahrah S Khan,1
Darshan Raval,R. D. Burman,1
Darshan Raval,Rochak Kohli,1
Daniel Caesar,Giveon,1
Daniel Caesar,Justin Bieber,1
Giveon,Justin Bieber,1
Koda,The Crystal Method,1
Ava Max,Witt Lowry,1
Koda,VAAAL,1
Parampara Tandon,Sachin-Jigar,1
The Crystal Method,VAAAL,1
Ed Sheeran,Throttle,1
A-Zone,Aphrodite,1
Alka Yagnik,Tanishk Bagchi,1
Tanishk Bagchi,Udit Narayan,1
Abrar Ul Haq,Gippy Grewal,1
Abrar Ul Haq,Romy,1
Abrar Ul Haq,Tanishk Bagchi,1
Abrar Ul Haq,Zahrah S Khan,1
Gippy Grewal,Romy,1
Gippy Grewal,Tanishk Bagchi,1
Gippy Grewal,Zahrah S Khan,1
Romy,Tanishk Bagchi,1
Romy,Zahrah S Khan,1
Justin Bieber,Quavo,1
Burna Boy,Justin Bieber,1
Deekline,Sovryn,1
BloodPop®,Justin Bieber,1
Ed Solo,Sovryn,1
Dhvani Bhanushali,Nikhil D'Souza,1
Nikhil D'Souza,Tanishk Bagchi,1
Deekline,T.I,1
Prem Dhillon,Sidhu Moose Wala,1
Arijit Singh,Jaideep Sahni,1
Kamal Kahlon,Param Singh,1
Kamal Kahlon,Pratik Studio,1
Param Singh,Pratik Studio,1
Jubin Nautiyal,Rochak Kohli,1
Neeti Mohan,Rochak Kohli,1
Asees Kaur,Darshan Raval,1
Asees Kaur,Lijo George-Dj Chetas,1
Darshan Raval,Lijo George-Dj Chetas,1
Avneet Kaur,Nikk,1
Deekline,Upgrade (UK),1
Leon James,Sid Sriram,1
Ed Solo,T.I,1
Bala,Nixen,1
Bala,Sandy Sandellow,1
Nixen,Sandy Sandellow,1
Bravado,Ed Sheeran,1
M. M. Keeravani,Rahul Sipligunj,1
M. M. Keeravani,Vishal Mishra,1
Rahul Sipligunj,Vishal Mishra,1
Dj Aqeel,Tanishk Bagchi,1
Dj Aqeel,Zahrah S Khan,1
Bappi Lahiri,Tanishk Bagchi,1
Bappi Lahiri,Yash Narvekar,1
Bappi Lahiri,Zahrah S Khan,1
Yash Narvekar,Zahrah S Khan,1
Anirudh Ravichander,Thalapathy Vijay,1
K. S. Harisankar,Sinduri Vishal,1
K. S. Harisankar,Vishal Chandrashekhar,1
Akshay Kumar,Ammy Virk,1
Akshay Kumar,B Praak,1
Akshay Kumar,Nupur Sanon,1
Ammy Virk,B Praak,1
Ammy Virk,Nupur Sanon,1
B Praak,Nupur Sanon,1
Anirudh Ravichander,Vishal Chandrashekhar,1
Shashaa Tirupati,Vishal Chandrashekhar,1
24kGoldn,iann dior,1
Devilo,JERRY,1
Ami Mishra,Shreya Ghoshal,1
Ahmed Shakib,Tanveer Evan,1
Sam C.S.,Shakthisree Gopalan,1
Aashna Hegde,Tanzeel Khan,1
Chamath Sangeeth,Satheeshan,1
Chamath Sangeeth,Yohani,1
Satheeshan,Yohani,1
Ed Solo,Upgrade (UK),1
Jaani,Lisa Mishra,1
T.I,Upgrade (UK),1
Lijo George-Dj Chetas,Lisa Mishra,1
Dub Pistols,Horseman,1
Lisa Mishra,Sukh-E Muzical Doctorz,1
Garry Sandhu,Intense,1
Garry Sandhu,Jasmine Sandlas,1
Garry Sandhu,Tanishk Bagchi,1
Intense,Jasmine Sandlas,1
Intense,Tanishk Bagchi,1
Jasmine Sandlas,Tanishk Bagchi,1
Geetha Madhuri,Jaani,1
Geetha Madhuri,Lijo George-Dj Chetas,1
Geetha Madhuri,Ram Miriyala,1
Geetha Madhuri,Sukh-E Muzical Doctorz,1
Jaani,Ram Miriyala,1
Lijo George-Dj Chetas,Ram Miriyala,1
Ram Miriyala,Sukh-E Muzical Doctorz,1
DJ Gimi-O,Dardan,1
DJ Gimi-O,Ricky Rich,1
DJ Hype,The Prodigy,1
Maroon 5,Wiz Khalifa,1
Badshah,QARAN,1
Parampara Tandon,Sachet-Parampara,1
Antara Mitra,Soham Naik,1
Antara Mitra,Uddipan Sharma,1
Soham Naik,Uddipan Sharma,1
Cedric Gervais,Lana Del Rey,1
Baani Sandhu,Gur Sidhu,1
Gippy Grewal,Tanu Grewal,1
Bruno Mars,R3HAB,1
Coldplay,Geoff Swan,1
Coldplay,Hardwell,1
Coldplay,Mark 'Spike' Stent,1
Geoff Swan,Hardwell,1
Geoff Swan,Mark 'Spike' Stent,1
Hardwell,Mark 'Spike' Stent,1
Ash King,QARAN,1
Sachet Tandon,The Fusion Project,1
Gur Sidhu,Jasmine Sandlas,1
Noel Gallagher,The Chemical Brothers,1
Jasmine Sandlas,Kaptaan,1
Rashmi Virag,Zahrah S Khan,1
Coldplay,Matoma,1
Asim Azhar,Zenab Fatimah Sultan,1
Amar Arshi,Badshah,1
Amar Arshi,Indeep Bakshi,1
Amar Arshi,Neha Kakkar,1
Amar Arshi,Prem & Hardeep,1
Badshah,Indeep Bakshi,1
Badshah,Prem & Hardeep,1
Indeep Bakshi,Neha Kakkar,1
Indeep Bakshi,Prem & Hardeep,1
Neha Kakkar,Prem & Hardeep,1
Rochak Kohli,Tulsi Kumar,1
Ammy Virk,Shahid Mallya,1
B Praak,Swasti Mehul,1
Harrdy Sandhu,Swasti Mehul,1
BTS,Jason Derulo,1
BTS,Jawsh 685,1
Jason Derulo,Jawsh 685,1
Haricharan,Sinduri Vishal,1
Haricharan,Vishal Chandrashekhar,1
Ayushmann Khurrana,Rochak Kohli,1
Gulab Sidhu,Jay Dee,1
B Praak,Nawazuddin Siddiqui,1
B Praak,Sunanda Sharma,1
Nawazuddin Siddiqui,Sunanda Sharma,1
Dino James,Kaprila,1
Altamash Faridi,Tanishk Bagchi,1
South Central,The Prodigy,1
K. Sivaangi,Siddhu Kumar,1
K. Sivaangi,Vineeth Sreenivasan,1
Siddhu Kumar,Vineeth Sreenivasan,1
Rakshita Suresh,Santhosh Dhayanidhi,1
Arun,Krishh,1
Aastha Gill,Divya Kumar,1
Aastha Gill,Jigar Saraiya,1
Aastha Gill,Sachin Sanghvi,1
Divya Kumar,Jigar Saraiya,1
Divya Kumar,Sachin Sanghvi,1
Jigar Saraiya,Sachin Sanghvi,1
AKASA,Lauv,1
AKASA,Rochak Kohli,1
Lauv,Rochak Kohli,1
Rajat Nagpal,Tanveer Evan,1
Tanveer Evan,Yasser Desai,1
Vishal Chandrashekhar,Yazin Nizar,1
Dub Pistols,Red Star Lion,1
Andrew Gold,DMA ILLAN,1
Falconshield,FrivolousShara,1
Red Star Lion,Rodney P,1
Mary Lou Lord,The Boys With The Perpetual Nervousness,1
Skatune Network,glass beach,1
Jay Healy,The Replacements,1
Don Dixon,The dB's,1
Cami,Elvis Costello & The Attractions,1
Hervé,The Prodigy,1
Dub Pistols,Serocee,1
Dub Pistols,Gregory Isaacs,1
Gregory Isaacs,Rodney P,1
Emie,Ilkay Sencan,1
Emie,Yves V,1
Ilkay Sencan,Yves V,1
Calvin Harris,Florence Welch,1
DJ Suv,Roni Size,1
Manfred Mann,Public Enemy,1
Manfred Mann,The Prodigy,1
KSHMR,Micky Blue,1
Leah Culver,Marshmello,1
Public Enemy,The Prodigy,1
Bassnectar,Levit∆te,1
Bassnectar,Dj Pound,1
Chris Brown,Marshmello,1
Chris Brown,Tyga,1
Marshmello,Tyga,1
Martin Garrix,Usher,1
Calvin Harris,Rag'n'Bone Man,1
Marshmello,YUNGBLUD,1
Marshmello,blackbear,1
YUNGBLUD,blackbear,1
ILLENIUM,Khalid,1
ILLENIUM,Marshmello,1
Alesso,Ryan Tedder,1
Alesso,Sebastian Ingrosso,1
Ryan Tedder,Sebastian Ingrosso,1
KSHMR,MKLA,1
KSHMR,Stefy De Cicco,1
MKLA,Stefy De Cicco,1
Calvin Harris,R3HAB,1
Dua Lipa,R3HAB,1
Nicky Romero,Olivia Penalva,1
Andy C,The Prodigy,1
Olivia Penalva,W&W,1
Audio Bullys,Surge,1
Ed Solo,Navigator,1
Rodney P,Stanton Warriors,1
Audien,XIRA,1
Chezidek,Dub Pistols,1
Chezidek,Seanie Tee,1
Bebe Rexha,DallasK,1
Alok,Khalid,1
Alok,Marshmello,1
Anne-Marie,R3HAB,1
Marshmello,R3HAB,1
Barry Ashworth,Bill Borez,1
Barry Ashworth,Kitten & The Hip,1
Bill Borez,Dub Pistols,1
Bill Borez,Kitten & The Hip,1
Dub Pistols,Kitten & The Hip,1
Baymont Bross,Dynamite MC,1
Armin van Buuren,Trevor Guthrie,1
HARBER,Morgan Page,1
HARBER,sid tipton,1
Morgan Page,sid tipton,1
Barry Ashworth,Dan Bowskill,1
Brandon,David Puentez,1
Barry Ashworth,T.K. Lawrence,1
Dan Bowskill,Dub Pistols,1
Dan Bowskill,T.K. Lawrence,1
David Puentez,Robyn The Bank,1
David Puentez,Who Knows,1
Robyn The Bank,Who Knows,1
Dan Bowskill,Will Hensel,1
Dub Pistols,T.K. Lawrence,1
Axwell,Feenixpawl,1
Axwell,Georgi Kay,1
Axwell,Ivan Gough,1
Feenixpawl,Georgi Kay,1
Feenixpawl,Ivan Gough,1
Georgi Kay,Ivan Gough,1
Mesto,Mike Williams,1
T.K. Lawrence,Will Hensel,1
Krafty Kuts,Krossbow,1
DJ Die,Reprazent,1
Datsik,Ganja White Night,1
Datsik,T.Rabb,1
Ganja White Night,T.Rabb,1
Halsey,Surf Mesa,1
Marshmello,Surf Mesa,1
Born I,Jantsen,1
Marshmello,Omar LinX,1
Dimitri Vegas,Regard,1
Dimitri Vegas & Like Mike,Regard,1
A$AP Rocky,Swedish House Mafia,1
Dimitri Vegas,Vini Vici,1
Bassnectar,Mighty High Coup,1
Deekline,Fish,1
Conor Maynard,Yves V,1
Fish,General Levy,1
John Martin,Matisse & Sadko,1
Audio Bullys,Suggs,1
Lo Fidelity Allstars,Pigeonhed,1
Andrelli,John De Sohn,1
Andrelli,Rasmus Hagen,1
Lindy Layton,Seanie T,1
Datsik,Walt Grizzly,1
Krafty Kuts,Tim Deluxe,1
Dub Pistols,Neville Staple,1
Neville Staple,Seanie Tee,1
Bassnectar,SPL,1
Amb,Big Hoodoo,1
Robbie Seed,Steve Brian,1
Bassnectar,MRK1,1
Datsik,Snoop Dogg,1
Lady Leshurr,Orbital,1
Ed Solo,Stickybuds,1
Delacey,GXD,1
Delacey,Markus Schulz,1
GXD,Markus Schulz,1
Ruben de Ronde,Zack Evans,1
Deekline,Rubi Dan,1
Boaz van de Beatz,Don Diablo,1
Boaz van de Beatz,PnB Rock,1
Don Diablo,PnB Rock,1
MARF,Nicky Romero,1
MARF,Wulf,1
Nicky Romero,Wulf,1
Bingo Players,Far East Movement,1
Qvckslvr,Vicetone,1
Armin van Buuren,Philip Strand,1
Armin van Buuren,Scott Abbot,1
Armin van Buuren,Jesse Fink,1
Ed Solo,Rubi Dan,1
Sasha,The Chemical Brothers,1
Stanton Warriors,Tony Quattro,1
Freestylers,Plump DJs,1
Orbital,Stephen Hawking,1
Ed Solo,MC Spyda,1
Dub Pistols,Rhoda Dakar,1
Armin van Buuren,Husky,1
DJ Baby Anne,DJ Icey,1
Dynamite MC,Riya,1
Krafty Kuts,Riya,1
A.Skillz,Ashley Slater,1
Ashley Slater,Krafty Kuts,1
The Prodigy,Tom Morello,1
Bassnectar,PEEKABOO,1
Born I,PEEKABOO,1
Armin van Buuren,Lucky Lou,1
Ayah Marar,Calvin Harris,1
Hybrid,deadmau5,1
AR/CO,Don Diablo,1
Stanton Warriors,Zac Toms,1
Imanbek,Marshmello,1
Imanbek,Usher,1
Marshmello,Usher,1
Don Diablo,Imanbek,1
Don Diablo,Trevor Daniel,1
Imanbek,Trevor Daniel,1
BLIM,MC Chickaboo,1
Matisse & Sadko,Michel Zitron,1
Eli & Fur,Nils Hoffmann,1
Alex Aris,Martin Garrix,1
Alex Aris,Matisse & Sadko,1
JRM,Martin Garrix,1
GATTÜSO,Jared Lee,1
GATTÜSO,Nicky Romero,1
Jared Lee,Nicky Romero,1
MC Chickaboo,Rennie Pilgrem,1
Hardwell,Mike Williams,1
Affect,Cause,1
Affect,Stanton Warriors,1
Cause,Stanton Warriors,1
Amy Shark,R3HAB,1
Dimitri Vegas & Like Mike,Hardwell,1
Calvin Harris,Ne-Yo,1
Earl 16,MC Navigator,1
Alexander Popov,DEXTER KING,1
Alexander Popov,Luminn,1
DEXTER KING,Luminn,1
Curbi,PollyAnna,1
Armin van Buuren,Dimitri Vegas & Like Mike,1
Armin van Buuren,W&W,1
DJ Icey,Demerris,1
Bertie Scott,Laidback Luke,1
Bertie Scott,Tribbs,1
Laidback Luke,Tribbs,1
Dimitri Vegas & Like Mike,Kim Loaiza,1
MC Roga,Sunnery James & Ryan Marciano,1
Marshmello,Wrabel,1
Dimitri Vegas & Like Mike,Julian Perretta,1
Julian Perretta,MOGUAI,1
DJ Icey,Isle Natividad,1
Pharrell Williams,Swedish House Mafia,1
Marshmello,Noah Cyrus,1
Marshmello,Ookay,1
Noah Cyrus,Ookay,1
A Day To Remember,Marshmello,1
Demerris,Isle Natividad,1
Calvin Harris,Example,1
Elderbrook,Lane 8,1
Dub Pistols,Prosper,1
Julian Jordan,Tinie Tempah,1
Martin Garrix,Tinie Tempah,1
KSHMR,Sak Noel,1
KSHMR,TxTHEWAY,1
Sak Noel,TxTHEWAY,1
Chris Jones,Hardwell,1
Brooks,Mike Williams,1
Headhunterz,R3HAB,1
Bonn,DubVision,1
CORSAK,Georgia Ku,1
CORSAK,MOTi,1
Georgia Ku,MOTi,1
Blasterjaxx,Hardwell,1
Blasterjaxx,Mitch Crown,1
Dubdogz,ILIRA,1
Dubdogz,Yves V,1
ILIRA,Yves V,1
KSHMR,Sidnie Tipton,1
Dub Pistols,Stabfinger,1
Adriatique,Swedish House Mafia,1
Adriatique,The Weeknd,1
Audien,Nils Hoffmann,1
Cate Downey,Nils Hoffmann,1
Maia Wright,Mike Williams,1
Prosper,Stabfinger,1
Azteck,Hayley May,1
Dimitri Vegas & Like Mike,Hayley May,1
Azteck,KSHMR,1
Brooks,Dua Lipa,1
Armin van Buuren,Bassjackers,1
Richard Durand,Susana,1
Richard Durand,XiJaro & Pitch,1
Susana,XiJaro & Pitch,1
Dub Pistols,Justin Robertson,1
Aries,Ed Solo,1
Aries,General Levy,1
DJ Quest,Odissi,1
Krust,Roni Size,1
Datsik,Zyme,1
Bukue One,Pimpernal Jones,1
Ed Solo,Pimpernal Jones,1
CamelPhat,Cristoph,1
Cristoph,Jem Cooke,1
R3HAB,VINAI,1
Pimpernal Jones,Skool Of Thought,1
Alesso,Dirty South,1
Alesso,Ruben Haze,1
Dirty South,Ruben Haze,1
Martin Garrix,Third Party,1
Dirtyphonics,Dynamite MC,1
Anabel Englund,Tchami,1
Oliver Heldens,Tchami,1
Blinders,Martin Garrix,1
Laidback Luke,R3HAB,1
