source,target,weight
Lola Indigo,Maria Becerra,7
Covent Garden,Giuseppe Verdi,7
Bethel Music,Jonathan David Helser,7
Jonathan David Helser,Melissa Helser,7
Michael Brook,Nusrat Fateh Ali Khan,7
Arem Ozguc,Arman Aydin,7
Shekhar Ravjiani,Vishal-Shekhar,7
Chorus of the Royal Opera House,Covent Garden,7
Alireza Mashayekhi,Keyvan Chemirani,7
Lin-Manuel Miranda,Okieriete Onaodowan,7
Cyclo,Zarcort,7
Armando Pontier y su Orquesta,Julio Sosa,7
Ben Lukas Boysen,Paul Emmerich,7
Dhanush,Yuvan Shankar Raja,7
MC Joãozinho VT,Mc Kako,7
DJ Snake,Selena Gomez,7
DJ Snake,Ozuna,7
Lofi By Swattrex,YOUNG AND BROKE,7
Orquesta Típica Porteña,Roberto Goyeneche,7
Lil Peep,Lil Tracy,7
MC GP,Mc Kadu,7
London Philharmonic Orchestra,Luciano Pavarotti,7
Einer Bankz,Fresco Trey,7
Lothika,Savera,7
Larry Heard,Loosefingers,7
Chris Quilala,Jesus Culture,7
Hans Zimmer,John Altman,7
Annika Wells,ILLENIUM,7
Alka Yagnik,Sonu Nigam,7
Leony,Pascal Letoublon,7
Pritam,Shefali Alvares,7
Cajmere,Dajae,7
George Frideric Handel,Trevor Pinnock,7
Hans Zimmer,Matt Dunkley,7
Suchitra,Yuvan Shankar Raja,7
Pritam,Sonu Nigam,7
Amit Mishra,Pritam,7
SHY FX,T. Power,7
Lin-Manuel Miranda,Phillipa Soo,7
George Jones,The Jordanaires,7
Jubin Nautiyal,Meet Bros.,7
George Frideric Handel,The English Concert,7
Matthias Reim,Michelle,7
Mstislav Rostropovich,Pyotr Ilyich Tchaikovsky,7
Sid Sriram,Yuvan Shankar Raja,7
Disney,Lea Salonga,7
Calvin Harris,Dua Lipa,7
Mao Fujita,Wolfgang Amadeus Mozart,7
Linda Clifford,Ralphi Rosario,7
Emilee,Surf Mesa,7
Charmian Carr,Nicholas Hammond,6
Gjermund Larsen,The Norwegian Soloists' Choir,6
MC Ryan SP,Mc IG,6
Darshan Raval,Pritam,6
Charmian Carr,Kym Karath,6
Charmian Carr,Heather Menzies,6
Emppu Vuorinen,Jukka Nevalainen,6
Charmian Carr,Duane Chase,6
Anne-Marie,Clean Bandit,6
Sean Paul,Sia,6
Javed Akhtar,Lata Mangeshkar,6
Lata Mangeshkar,Madan Mohan,6
Daniel Hope,I Virtuosi Italiani,6
Ryan Pardey,The Killers,6
Charmian Carr,Debbie Turner,6
Grete Pedersen,Marco Ambrosini,6
Marco Ambrosini,The Norwegian Soloists' Choir,6
The Norwegian Soloists' Choir,Traditional,6
Deep Sleep,Sleep Baby Sleep,6
Daveed Diggs,Leslie Odom Jr.,6
James Hayto,Slovak National Symphony Orchestra,6
Jubin Nautiyal,Rashmi Virag,6
Crying & Colic Relief,Soothing White Noise for Infant Sleeping and Massage,6
James Hayto,Rolando Villazón,6
Hallie,Lambie,6
Crosby,Stills & Nash,6
Erik Smith,Wolfgang Amadeus Mozart,6
Angela Cartwright,Nicholas Hammond,6
Angela Cartwright,Kym Karath,6
Relaxation and Dreams,Spa,6
Khalid,Marshmello,6
Ski Mask The Slump God,XXXTENTACION,6
Dan Caplen,Jess Glynne,6
Darran Muller,Slovak National Symphony Orchestra,6
Alessia Cara,Zedd,6
Darran Muller,Rolando Villazón,6
Darran Muller,James Hayto,6
Jonas Blue,William Singe,6
Angela Cartwright,Heather Menzies,6
Angela Cartwright,Duane Chase,6
Marco Ambrosini,Traditional,6
Angela Cartwright,Debbie Turner,6
Angela Cartwright,Charmian Carr,6
Allan Wilson,James Hayto,6
Caju Pra Baixo,RDN,6
Barilari,Jens Johansson,6
Caju Pra Baixo,Vitinho,6
RDN,Vitinho,6
Arijit Singh,Shashwat Singh,6
Harris Jayaraj,Karthik,6
Anirudh Ravichander,Jonita Gandhi,6
Josh Groban,London Symphony Orchestra,6
Allan Wilson,Darran Muller,6
Tanishk Bagchi,Zahrah S Khan,6
Keala Settle,The Greatest Showman Ensemble,6
Barrett Wilbert Weed,Ryan McCartan,6
Dub Pistols,Seanie T,6
Dan Caplen,Rudimental,6
Glee Cast,Jonathan Groff,6
Dan Caplen,Macklemore,6
DJ Snake,J Balvin,6
Ernest Tubb,Loretta Lynn,6
Emmy Rossum,Patrick Wilson,6
Lalo Ebratt,Trapical,6
Kym Karath,Nicholas Hammond,6
Mc IG,Mc Kevin,6
Armin van Buuren,Simon Ward,6
Bethel Music,Steffany Gretzinger,6
Witold Rowicki,Wolfgang Amadeus Mozart,6
Nicolai Ghiaurov,Rolando Panerai,6
Jens Johansson,Jukka Nevalainen,6
Andy Luxx,Bierkapitän,6
Pritam,TUSHAR JOSHI,6
London Symphony Orchestra,Witold Rowicki,6
Chorus of the Royal Opera House,Giuseppe Verdi,6
Ingrid Haebler,Witold Rowicki,6
Alvaro Diaz,Rauw Alejandro,6
Casa Worship,MOVER,6
Crosby,Nash & Young,6
Heather Menzies,Nicholas Hammond,6
Barilari,Emppu Vuorinen,6
Kevin Roldan,Lyanno,6
BK,El Lif Beatz,6
Crosby,Stills,6
Skinny Atlas,Snøw,6
Chris Brown,T-Pain,6
Seedhe Maut,Sez on the Beat,6
MC Ryan SP,Mc Davi,6
Nash & Young,Stills,6
Bryant Myers,Lyanno,6
Mayday,Rhythim Is Rhythim,6
Pyotr Ilyich Tchaikovsky,phil Blech Wien,6
Dario Marianelli,Jean-Yves Thibaudet,6
Bryant Myers,Kevin Roldan,6
Emppu Vuorinen,Sami Vänskä,6
Derrick May,Mayday,6
Jubin Nautiyal,Pritam,6
Cyclo,Piter-G,6
Heather Menzies,Kym Karath,6
Neo Beats,Xamã,6
Astor Piazzolla,Roberto Goyeneche,6
Antonio Orozco,Malú,6
Anuel AA,J Balvin,6
